"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"1",1,0,78.5,65,6,0,1357,193.86,45,3.72,NA
"2",2,1,85,27,0,0,108,15.43,4,0.3,NA
"3",3,0,90.3333333333333,75.67,65,0,1357,193.86,45,3.72,NA
"4",4,1,61.2,75.67,0,0,364,52,12,1,2.551793514
"5",5,0,97.5,35.75,6,0,1357,193.86,45,3.72,2.551793514
"6",6,1,72.5,89,0,1,1463,209,48,4.01,2.229821374
"7",7,1,70.4285714285714,54.5,0,4,1463,209,48,4.01,0.572745475
"8",8,0,87.2142857142857,77,0,4,2456,350.86,81,6.73,0.331557574
"9",9,1,91.625,86.5,0,4,1463,209,48,4.01,1.598311518
"10",10,1,72.75,55.5,0,4,364,52,12,1,0.23973034
"11",11,1,79.25,15.25,18,4,1129,161.29,37,3.09,0.23973034
"12",12,1,90.875,86,0,4,364,52,12,1,4.666865917
"13",13,0,79.25,67.75,71,1,1357,193.86,45,3.72,4.666865917
"14",14,0,97.5,22.25,12,1,1357,193.86,45,3.72,4.666865917
"15",15,1,80.8333333333333,75.5,0,1,1463,209,48,4.01,7.115291525
"16",16,1,88.4166666666667,67.75,8,1,1078,154,35,2.95,7.115291525
"17",17,0,98,64,3,1,1357,193.86,45,3.72,7.115291525
"18",18,1,78.375,59,0,1,1463,209,48,4.01,5.167540913
"19",19,0,88.5714285714286,30.75,22,2,1357,193.86,45,3.72,5.167540913
"20",20,0,82.9285714285714,50.5,0,2,2456,350.86,81,6.73,8.766926974
"21",21,1,91.625,61,0,2,728,104,24,1.99,1.501109426
"22",22,0,75.2142857142857,26,0,1,2456,350.86,81,6.73,6.717423479
"23",23,1,83.25,12,0,1,364,52,12,1,6.717423479
"24",24,0,87.5,45.5,0,1,2456,350.86,81,6.73,4.339424316
"25",25,0,88,57,5,1,1357,193.86,45,3.72,4.339424316
"26",26,1,90.75,70.5,0,1,364,52,12,1,2.898692931
"27",27,1,60.2857142857143,38.5,0,3,1827,261,60,5.01,2.493786858
"28",28,0,74.75,38.5,85,2,1357,193.86,45,3.72,2.493786858
"29",29,1,84.6666666666667,38.5,51,2,1079,154.14,35,2.96,2.493786858
"30",30,1,77.3333333333333,60,0,2,435,62.14,14,1.19,2.493786858
"31",31,1,95,79.5,0,2,364,52,12,1,2.493786858
"32",32,1,90.1875,67.5,0,2,728,104,24,1.99,2.758052129
"33",33,1,92.5,73.5,21,2,1078,154,35,2.95,2.758052129
"34",34,0,84.5,62.5,0,2,2456,350.86,81,6.73,1.553316525
"35",35,0,78.1875,62.75,8,2,1357,193.86,45,3.72,1.553316525
"36",36,1,81.5,3.5,19,2,1078,154,35,2.95,1.553316525
"37",37,1,75.8,49.75,0,2,364,52,12,1,1.553316525
"38",38,1,90,61.75,0,2,141,20.14,5,0.39,4.00619517
"39",39,1,72.5833333333333,17.5,0,2,364,52,12,1,3.32105099
"40",40,1,91.9,83,0,1,1463,209,48,4.01,3.658401003
"41",41,0,79.8,5,18,1,1356,193.71,45,3.72,5.73787064
"42",44,0,89,75,0,2,2456,350.86,81,6.73,2.623107174
"43",46,1,81.75,48,0,2,364,52,12,1,2.623107174
"44",47,0,87.2857142857143,72.5,0,2,2456,350.86,81,6.73,4.275003795
"45",51,1,61.8,20.5,0,2,364,52,12,1,4.275003795
"46",52,1,92.3125,79.5,0,2,728,104,24,1.99,4.275003795
"47",53,1,74.4285714285714,65.5,0,2,1099,157,36,3.01,5.171553741
"48",54,1,86.5,51,0,1,728,104,24,1.99,5.171553741
"49",55,0,86.25,79.5,0,1,2456,350.86,81,6.73,3.101859388
"50",57,1,79.5,47,0,1,364,52,12,1,3.101859388
"51",61,1,83.875,78,0,1,364,52,12,1,3.101859388
"52",62,1,81.2857142857143,23.5,0,2,1463,209,48,4.01,1.357523138
"53",63,1,0,23.5,0,2,0,0,0,0,1.357523138
"54",64,1,0,23.5,0,2,0,0,0,0,1.357523138
"55",67,1,58.625,23.5,0,5,1099,157,36,3.01,2.215908016
"56",68,1,73.7,44.75,0,5,728,104,24,1.99,2.215908016
"57",69,1,0,44.75,0,1,364,52,12,1,2.215908016
"58",72,1,74,25.5,0,1,364,52,12,1,2.215908016
"59",76,1,59.25,51,0,1,364,52,12,1,2.215908016
"60",78,0,75.2142857142857,45.5,0,1,2456,350.86,81,6.73,6.427385134
"61",79,1,78.6,45.5,0,1,364,52,12,1,6.427385134
"62",81,0,78.9285714285714,47.5,0,1,2456,350.86,81,6.73,1.395585443
"63",83,0,93.5,26,0,1,2456,350.86,81,6.73,3.371193298
"64",85,0,76.5625,26,0,1,2456,350.86,81,6.73,1.769928826
"65",88,1,0,26,0,1,0,0,0,0,1.769928826
"66",89,0,83.5,26,0,2,2456,350.86,81,6.73,2.722947874
"67",90,0,89.5,26,0,2,2456,350.86,81,6.73,1.132742974
"68",92,0,82.4166666666667,26,0,2,2456,350.86,81,6.73,3.136369333
"69",95,1,0,26,0,2,0,0,0,0,3.136369333
"70",96,1,100,26,0,1,1099,157,36,3.01,1.607604893
"71",97,0,81,26,0,1,2456,350.86,81,6.73,1.851298836
"72",98,0,80.25,26,0,1,2456,350.86,81,6.73,4.944439529
"73",99,0,86.625,26,0,1,2456,350.86,81,6.73,4.378749728
"74",101,0,85.3125,26,0,1,2456,350.86,81,6.73,6.53944672
"75",102,0,76,26,0,2,2456,350.86,81,6.73,1.454082063
"76",103,0,92.7,26,0,3,2456,350.86,81,6.73,8.272665832
"77",107,1,75.625,26,0,2,728,104,24,1.99,8.272665832
"78",108,1,85.3333333333333,26,0,2,1099,157,36,3.01,3.239674064
"79",110,0,90,26,0,2,2456,350.86,81,6.73,1.663729953
"80",111,0,85.7142857142857,26,0,1,2456,350.86,81,6.73,2.732826423
"81",114,1,39,26,0,1,634,90.57,21,1.74,2.732826423
"82",115,1,79.9166666666667,26,0,1,1100,157.14,36,3.01,4.234072941
"83",116,1,68.4285714285714,26,0,1,728,104,24,1.99,4.234072941
"84",119,1,74.7777777777778,26,0,1,364,52,12,1,4.234072941
"85",121,0,83.9375,26,0,1,2456,350.86,81,6.73,11.68262229
"86",123,0,64.5,26,0,1,2456,350.86,81,6.73,3.796405013
"87",125,1,50.1428571428571,21.5,0,1,728,104,24,1.99,3.796405013
"88",127,1,88.2857142857143,21.5,0,1,1099,157,36,3.01,1.426522004
"89",129,1,86,21.5,0,1,1099,157,36,3.01,6.465404009
"90",130,1,86.3125,21.5,0,1,728,104,24,1.99,6.465404009
"91",131,1,0,21.5,0,1,0,0,0,0,6.465404009
"92",133,0,100,21.5,0,1,2456,350.86,81,6.73,3.57210242
"93",135,1,0,21.5,0,1,0,0,0,0,3.57210242
"94",136,1,81.5,21.5,0,1,1099,157,36,3.01,2.980731793
"95",137,1,79.75,21.5,0,1,728,104,24,1.99,2.980731793
"96",139,0,86.8125,21.5,0,1,2456,350.86,81,6.73,6.054988319
"97",141,1,63.6875,21.5,0,2,1099,157,36,3.01,1.079478114
"98",142,1,81.6875,21.5,0,2,728,104,24,1.99,1.079478114
"99",143,1,100,21.5,0,1,1099,157,36,3.01,3.870948223
"100",145,0,88.1666666666667,21.5,0,1,2456,350.86,81,6.73,6.690421615
"101",146,0,84.1666666666667,21.5,0,1,2456,350.86,81,6.73,3.233343819
"102",147,0,86.3333333333333,21.5,0,1,2456,350.86,81,6.73,3.233343819
"103",150,1,0,21.5,0,1,0,0,0,0,3.233343819
"104",151,1,0,21.5,0,1,0,0,0,0,3.233343819
"105",155,1,62.8571428571429,58.5,0,1,1687,241,55,4.62,0.660884297
"106",158,1,87.25,58.5,0,1,1099,157,36,3.01,1.526502252
"107",159,0,78.7142857142857,20,0,1,2456,350.86,81,6.73,1.363254881
"108",162,0,83.0833333333333,20,0,1,2456,350.86,81,6.73,3.955291499
"109",163,0,73.3333333333333,76,0,1,2456,350.86,81,6.73,1.395585443
"110",164,0,75.6875,76,0,1,2456,350.86,81,6.73,3.185967525
"111",167,1,92,76,0,1,1129,161.29,37,3.09,3.286913395
"112",168,1,60.25,13.75,0,1,364,52,12,1,3.286913395
"113",169,0,100,13.75,0,1,2456,350.86,81,6.73,5.608590548
"114",170,0,87.3125,13.75,0,1,2456,350.86,81,6.73,5.608590548
"115",171,1,83,62.5,0,1,728,104,24,1.99,5.608590548
"116",172,0,83.25,62.5,0,1,2456,350.86,81,6.73,4.820706562
"117",178,1,78.375,62.5,0,1,1099,157,36,3.01,4.545195162
"118",353,1,69.625,59,0,1,907,129.57,30,2.48,4.545195162
"119",354,0,82,50,0,1,2456,350.86,81,6.73,1.989825785
"120",356,0,75.75,50,0,1,2456,350.86,81,6.73,4.309574174
"121",357,1,87.8571428571429,50,0,1,1100,157.14,36,3.01,3.329421685
"122",358,1,79.625,50,0,1,912,130.29,30,2.5,3.329421685
"123",501,1,54.75,32.25,0,2,1905,272.14,63,5.22,1.011486354
"124",502,1,0,32.25,0,2,0,0,0,0,1.011486354
"125",503,1,0,32.25,0,2,0,0,0,0,1.011486354
"126",504,1,92.25,84.75,0,2,728,104,24,1.99,1.011486354
"127",505,1,75.5,26.33,0,2,1099,157,36,3.01,2.9190436
"128",506,0,82.6875,26.5,0,2,2456,350.86,81,6.73,6.385311085
"129",507,0,81.25,50.75,0,2,2456,350.86,81,6.73,4.131969753
"130",509,0,82.8571428571429,22.25,0,1,2456,350.86,81,6.73,4.464616474
"131",511,0,89.4,72,0,1,2456,350.86,81,6.73,13.28046649
"132",513,1,0,72,0,1,0,0,0,0,13.28046649
"133",514,0,89.5833333333333,47.5,0,1,2456,350.86,81,6.73,8.766947509
"134",515,1,82.25,46.5,0,1,1828,261.14,60,5.01,1.607604893
"135",516,1,80.2,58.67,0,1,364,52,12,1,1.607604893
"136",517,0,84.8571428571429,65,0,1,2456,350.86,81,6.73,2.280511845
"137",518,0,86.9375,37.25,0,1,2456,350.86,81,6.73,6.943997401
"138",520,1,87.7857142857143,37.25,0,1,1099,157,36,3.01,17.74410048
"139",521,0,86.3125,86,0,1,2456,350.86,81,6.73,2.501264962
